conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
GRAVE_MEASUREMENT_TYPE:1,Number,,GRAVE_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
GRAVE_MEASUREMENT_TYPE:2,Grave length,,GRAVE_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
GRAVE_MEASUREMENT_TYPE:3,Grave width,,GRAVE_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
GRAVE_MEASUREMENT_TYPE:4-1,Grave depth from,,GRAVE_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
GRAVE_MEASUREMENT_TYPE:4-2,Grave depth to,,GRAVE_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
GRAVE_MEASUREMENT_TYPE:5,Declination from north,,GRAVE_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
GRAVE_MEASUREMENT_TYPE:6,Casket lenght,,GRAVE_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH
GRAVE_MEASUREMENT_TYPE:7,Casket width,,GRAVE_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,EH

