conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
OF1:1,"bead",,OBJECT_FEATURE_LEVEL1_AUTHORITY_DOCUMENT.csv,Index,EH
OF1:2,"position in the grave",,OBJECT_FEATURE_LEVEL1_AUTHORITY_DOCUMENT.csv,Index,EH
OF1:3,"knife",,OBJECT_FEATURE_LEVEL1_AUTHORITY_DOCUMENT.csv,Index,EH
OF1:4,"state of preservation",,OBJECT_FEATURE_LEVEL1_AUTHORITY_DOCUMENT.csv,Index,EH
OF1:5,"find ",,OBJECT_FEATURE_LEVEL1_AUTHORITY_DOCUMENT.csv,Index,EH
OF1:6,"kitchenware",,OBJECT_FEATURE_LEVEL1_AUTHORITY_DOCUMENT.csv,Index,EH
OF1:9,"head circlet",,OBJECT_FEATURE_LEVEL1_AUTHORITY_DOCUMENT.csv,Index,EH
OF1:11,"broche",,OBJECT_FEATURE_LEVEL1_AUTHORITY_DOCUMENT.csv,Index,EH
